title,provider,subject,school,language,course_hours,session,course_length(weeks along),review count interval(강의시작일 + 강의수업길이 + 1분기<3개월>),review_count (from session start to the interval),total_review_count,total_review_average,pace,certification_available,url,description
An Introduction to Interactive Programming in Python (Part 1),Coursera,Programming,Rice University,English,7-10 hours a week,2016-06-27,5,2016-11-01,,2813,4.942410238,In progress,Paid Certificate Available,https://www.class-central.com/mooc/408/coursera-an-introduction-to-interactive-programming-in-python-part-1,"In this four-part series, we will explore AP Physics 1 concepts and prepare for the AP Physics 1 Exam in an exciting and entirely new way. Increase your skills ? and your readiness ? for the AP Exam though quality videos, inquiry labs, Hollywood-style Concept Trailers™, Direct Measurement Videos, AP problem-solving sessions and more!

In Part 2: Rotational Motion you will learn how to describe rotational motion with kinematics and how torque alters an object’s state of motion. You will learn about rotational energy and angular momentum, and how their conservation laws affect motion. Gravitational forces between two bodies and the resulting motion will be described, as well as simple harmonic motion. The course will cover these physical concepts through lectures, demonstrations, labs, and problem solving strategies

The enhanced AP Exam Prep PLUS 5 is bundled with the edX Verified Certificate. To get PLUS 5, register for the Verified Certificate. The course instructors will email you with directions for how to receive both the extra exam prep and certificate.

You can view or download the complete College Physics for AP®Courses textbook by going to the Reading Assignments page in this course

 

*Advanced Placement® and AP® are trademarks registered and/or owned by the College Board, which was not involved in the production of, and does not endorse, these offerings.

Additional Courses in the Preparing for the AP Physics 1 Exam Sequence

Preparing for the AP* Physics 1 Exam - Part 1: Linear Motion
Preparing for the AP* Physics 1 Exam - Part 3: Electricity & Waves
Preparing for the AP* Physics 1 Exam - Part 4: Exam Prep
*Advanced Placement® and AP® are trademarks registered and/or owned by the College Board, which was not involved in the production of, and does not endorse, these offerings."
Learning How to Learn: Powerful mental tools to help you master tough subjects,Coursera,Self Improvement,"University of California, San Diego",English,3-4 hours a week,2016-06-27,4,2016-10-25,,585,4.700854701,In progress,Paid Certificate Available,https://www.class-central.com/mooc/2161/coursera-learning-how-to-learn-powerful-mental-tools-to-help-you-master-tough-subjects,"A chemistry course to cover selected topics covered in advanced high school chemistry courses, correlating to the standard topics as established by the American Chemical Society.

Prerequisites: Students should have a background in basic chemistry including nomenclature, reactions, stoichiometry, molarity and thermochemistry.
Syllabus
Kinetics
The study of chemical kinetics is the study of change over time. It answers questions like: How fast are reactants consumed? How fast are products formed? This unit is dedicated to the exploration of how these questions are answered. We will look at the experimental evidence of how concentration affects these rates. We will also examine what occurs on the molecular level, especially with respect to the motion of molecules, that affects rates of reactions.

Chemical Equilibrium
This unit introduces the concept of chemical equilibrium and how it applies to many chemical reactions. The quantitative aspects of equilibrium are explored thoroughly through discussions of the law of mass action as well as the relationship between equilibrium constants with respect to concentrations and pressures of substances. Much of the discussion explores how to solve problems to find either the value of the equilibrium constant or the concentrations of substances at equilibrium. ICE (initial-change-equilibrium) tables are introduced as a problem-solving tool and multiple examples of their use are included. From a qualitative standpoint, Le Ch?telier’s principle is used to explain how various factors affect the equilibrium constant of a reaction along with the concentrations of all species.

Acid-Base Equilibria
The concept of equilibrium is applied to acid and base solutions. To begin, the idea of weak acids and bases is explored along with the equilibrium constants associated with their ionization in water and how the value of the equilibrium constant is associated with the strength of the acid or base. The autoionization of water is discussed and how temperature affects this process. A variety of problem types are covered including calculations of pH, pOH, [OH-], and [H+] for both strong and weak acids and bases. Aqueous salt solutions are classified as acids and bases and the multi-step ionization of polyprotic acids is discussed. Finally, the concept of Lewis acids and bases is discussed and demonstrated through examples.

Aqueous Equilibria
This unit continues and expands on the theme of equlibria. You will examine buffers, acid/base titrations and the equilibria of insoluble salts.

Thermodynamics
The overarching theme of thermodynamics is the prediction of whether a reaction will occur spontaneously under a certain set of conditions. Entropy and Free Energy are defined and utilized for this purpose."
A Life of Happiness and Fulfillment,Coursera,Philosophy,Indian School of Business,English,2-3 hours a week,2016-07-04,6,2016-11-15,,221,4.832579186,Upcoming,Paid Certificate Available,https://www.class-central.com/mooc/2860/coursera-a-life-of-happiness-and-fulfillment,"Impact your financial decisions and learn how to affect the performance of your unit's profitability and of your organization. In this course gain a basic understanding of finance and accounting concepts to drive your organization's growth. Upon completion of this course, you will have gained general financial knowledge and an in-depth understanding of the impact of your decisions outside your functional area. Content of the course includes selected aspects of finance from a non-financial specialist perspective. Specific topics include: financial analysis; planning, forecasting, and budgeting; cash flow, and strategic financing. This class will be interactive and will require the active involvement of the participants in finance related activities.
Syllabus
Foundations of Finance and Accounting


Costing


Financial Ratios


Valuation"
R Programming,Coursera,Data Science and Big Data,Johns Hopkins University,English,7-9 hours a week,2016-06-27,4,2016-10-25,,204,2.715686275,In progress,Paid Certificate Available,https://www.class-central.com/mooc/1713/coursera-r-programming,"Large-scale biology projects such as the sequencing of the human genome and gene expression surveys using RNA-seq, microarrays and other technologies have created a wealth of data for biologists. However, the challenge facing scientists is analyzing and even accessing these data to extract useful information pertaining to the system being studied. This course focuses on employing existing bioinformatic resources ? mainly web-based programs and databases ? to access the wealth of data to answer questions relevant to the average biologist, and is highly hands-on.

Topics covered include multiple sequence alignments, phylogenetics, gene expression data analysis, and protein interaction networks, in two separate parts.

The first part, Bioinformatic Methods I (this one), deals with databases, Blast, multiple sequence alignments, phylogenetics, selection analysis and metagenomics.

This, the second part, Bioinformatic Methods II, covers motif searching, protein-protein interactions, structural bioinformatics, gene expression data analysis, and cis-element predictions.

This pair of courses is useful to any student considering graduate school in the biological sciences, as well as students considering molecular medicine. Both provide an overview of the many different bioinformatic tools that are out there.

These courses are based on one taught at the University of Toronto to upper-level undergraduates who have some understanding of basic molecular biology. If you're not familiar with this, something like https://learn.saylor.org/course/bio101 might be helpful. No programming is required for this course.
Syllabus
NCBI/Blast I
In this module we'll be exploring the amazing resources available at NCBI, the National Centre for Biotechnology Information, run by the National Library of Medicine in the USA. We'll also be doing a Blast search to find similar sequences in the enormous NR sequence database. We can use similar sequences to infer homology, which is the primary predictor of gene or protein function.

Blast II/Comparative Genomics
In this module we'll continue exploring the incredible resources available at NCBI, the National Centre for Biotechnology Information. We will be performing several different kinds of Blast searches: BlastP, PSI-Blast, and Translated Blast. We can use similar sequences identified by such methods to infer homology, which is the primary predictor of gene or protein function. We'll also be comparing parts of the genomes of a couple of different species, to see how similar they are.

Multiple Sequence Alignments
In this module we'll be doing multiple sequence alignments with Clustal (as implemented in MEGA), DiAlign, and MAFFT. Multiple sequences alignments can tell you where in a sequence the conserved and variable regions are, which is important for understanding the biology of the sequences under investigation. It also has practical applications, such as being able to design PCR primers that will amplify sequences from a number of different species, for example.

Review: NCBI/Blast I, Blast II/Comparative Genetics, and Multiple Sequence Alignments


Phylogenetics
In this module we'll be using the multiple sequence alignments we generated last lab to do some phylogenetic analyses with both neighbour-joining and maximum likelihood methods. The tree-like structure generated by such analyses tells us how closely sequences are related one to another, and suggests when in evolutionary time a speciation or gene duplication event occurred.

Selection Analysis
In this module we'll take a set of orthologous sequences from bacteria and use DataMonkey to analyze them for the presence of certain sites under positive, negative or neutral selection. Such an analysis can help understand the biology of a set of protein coding sequences by identifying residues that might be important for biological function (those residues under negative selection) or those that might be involved in response to external influences, such as drugs, pathogens or other factors (residues under positive selection).

'Next Gen' Sequence Analysis (RNA-Seq) / Metagenomics
In this module we'll explore some of the data that have been generated as a result of the rapid decrease in the cost of sequencing DNA. We'll be exploring a couple of RNA-Seq data sets that can tell us where any given gene is expressed, and also how that gene might be alternatively spliced. We'll also be looking at a couple of metagenome data sets that can tell us about the kinds of species (especially microbial species that might otherwise be hard to culture) that are in a given environmental niche.

Review: Phylogenetics, Selection Analysis, and 'Next Gen' Sequence Analysis (RNA-seq)/Metagenomics + Final Assignment"
Machine Learning,Coursera,Artificial Intelligence,Stanford University,English,5-7 hours a week,2016-06-27,11,2016-12-12,,204,2.715686275,In progress,Paid Certificate Available,https://www.class-central.com/mooc/835/coursera-machine-learning,"Are you fascinated by Geosciences and willing to take the challenge of predicting the nature and behavior of the Earth subsurface? This is your course!

In a voyage through the Earth, Geoscience: the Earth and its Resources will explore the Earth interior and the processes forming mountains and sedimentary basins. You will understand how the sediments are formed, transported, deposited and deformed.

You will develop knowledge on the behavior of petroleum and water resources.

The course has an innovative approach focusing on key fundamental processes, exploring their nature and quantitative interactions. It will be shown how this acquired knowledge is used to predict the nature and behavior of the Earth subsurface.

This is your ideal first step as a future Geoscientists or professional to upgrade your knowledge in the domain of Earth Sciences."
Marketing in a Digital World,Coursera,Marketing,University of Illinois at Urbana-Champaign,English,6-8 hours a week,2016-07-04,4,2016-11-01,,194,4.793814433,Upcoming,Paid Certificate Available,https://www.class-central.com/mooc/2750/coursera-marketing-in-a-digital-world,"Impact your financial decisions and learn how to affect the performance of your unit's profitability and of your organization. In this course gain a basic understanding of finance and accounting concepts to drive your organization's growth. Upon completion of this course, you will have gained general financial knowledge and an in-depth understanding of the impact of your decisions outside your functional area. Content of the course includes selected aspects of finance from a non-financial specialist perspective. Specific topics include: financial analysis; planning, forecasting, and budgeting; cash flow, and strategic financing. This class will be interactive and will require the active involvement of the participants in finance related activities.
Syllabus
Foundations of Finance and Accounting


Costing


Financial Ratios


Valuation"
The Data Scientist’s Toolbox,Coursera,Data Science and Big Data,Johns Hopkins University,English,1-4 hours a week,2016-06-27,4,2016-10-25,,141,4.666666667,In progress,Paid Certificate Available,https://www.class-central.com/mooc/1712/coursera-the-data-scientist-s-toolbox,"Large-scale biology projects such as the sequencing of the human genome and gene expression surveys using RNA-seq, microarrays and other technologies have created a wealth of data for biologists. However, the challenge facing scientists is analyzing and even accessing these data to extract useful information pertaining to the system being studied. This course focuses on employing existing bioinformatic resources ? mainly web-based programs and databases ? to access the wealth of data to answer questions relevant to the average biologist, and is highly hands-on.

Topics covered include multiple sequence alignments, phylogenetics, gene expression data analysis, and protein interaction networks, in two separate parts.

The first part, Bioinformatic Methods I (this one), deals with databases, Blast, multiple sequence alignments, phylogenetics, selection analysis and metagenomics.

This, the second part, Bioinformatic Methods II, covers motif searching, protein-protein interactions, structural bioinformatics, gene expression data analysis, and cis-element predictions.

This pair of courses is useful to any student considering graduate school in the biological sciences, as well as students considering molecular medicine. Both provide an overview of the many different bioinformatic tools that are out there.

These courses are based on one taught at the University of Toronto to upper-level undergraduates who have some understanding of basic molecular biology. If you're not familiar with this, something like https://learn.saylor.org/course/bio101 might be helpful. No programming is required for this course.
Syllabus
NCBI/Blast I
In this module we'll be exploring the amazing resources available at NCBI, the National Centre for Biotechnology Information, run by the National Library of Medicine in the USA. We'll also be doing a Blast search to find similar sequences in the enormous NR sequence database. We can use similar sequences to infer homology, which is the primary predictor of gene or protein function.

Blast II/Comparative Genomics
In this module we'll continue exploring the incredible resources available at NCBI, the National Centre for Biotechnology Information. We will be performing several different kinds of Blast searches: BlastP, PSI-Blast, and Translated Blast. We can use similar sequences identified by such methods to infer homology, which is the primary predictor of gene or protein function. We'll also be comparing parts of the genomes of a couple of different species, to see how similar they are.

Multiple Sequence Alignments
In this module we'll be doing multiple sequence alignments with Clustal (as implemented in MEGA), DiAlign, and MAFFT. Multiple sequences alignments can tell you where in a sequence the conserved and variable regions are, which is important for understanding the biology of the sequences under investigation. It also has practical applications, such as being able to design PCR primers that will amplify sequences from a number of different species, for example.

Review: NCBI/Blast I, Blast II/Comparative Genetics, and Multiple Sequence Alignments


Phylogenetics
In this module we'll be using the multiple sequence alignments we generated last lab to do some phylogenetic analyses with both neighbour-joining and maximum likelihood methods. The tree-like structure generated by such analyses tells us how closely sequences are related one to another, and suggests when in evolutionary time a speciation or gene duplication event occurred.

Selection Analysis
In this module we'll take a set of orthologous sequences from bacteria and use DataMonkey to analyze them for the presence of certain sites under positive, negative or neutral selection. Such an analysis can help understand the biology of a set of protein coding sequences by identifying residues that might be important for biological function (those residues under negative selection) or those that might be involved in response to external influences, such as drugs, pathogens or other factors (residues under positive selection).

'Next Gen' Sequence Analysis (RNA-Seq) / Metagenomics
In this module we'll explore some of the data that have been generated as a result of the rapid decrease in the cost of sequencing DNA. We'll be exploring a couple of RNA-Seq data sets that can tell us where any given gene is expressed, and also how that gene might be alternatively spliced. We'll also be looking at a couple of metagenome data sets that can tell us about the kinds of species (especially microbial species that might otherwise be hard to culture) that are in a given environmental niche.

Review: Phylogenetics, Selection Analysis, and 'Next Gen' Sequence Analysis (RNA-seq)/Metagenomics + Final Assignment"
Introduction to Programming with MATLAB,Coursera,Programming,Vanderbilt University,English,4-6 hours a week,2016-07-25,9,2016-12-26,,137,3.189781022,Upcoming,Paid Certificate Available,https://www.class-central.com/mooc/3396/coursera-introduction-to-programming-with-matlab,"This course is aimed at English as a Foreign Language (EFL) teachers, both those who are intending to pursue this field as a career and those already working in the field who would like to revise and refresh their methods and approaches. The materials and approaches presented should complement college courses such as Introduction to TEFL/TESOL Methods.
This five-week course explores important aspects of teaching English as a second or foreign language. The goal of this course is to help you become a better teacher. By the end of this course, you should be able to explain how the various materials and approaches presented will lead to better language learning; you will be able to choose appropriate materials and apply varied classroom activities to improve your students’ study of English. You will also be able to better evaluate both your own and other teachers’ practices.
This is the second of the two-part Shaping the Way We Teach English series. The first part is the Landscape of English Language Teaching. You can begin with either course.

Syllabus
Topics for Paths to Success in English Language Teaching include:
Week 1: Integrating skills and using tasks to motivate learners; project overview, introductions
Week 2: Alternative assessment that shows what learners can do with language; lesson plan phase 1 is due
Week 3: Incorporating individual learning differences in instruction; peer and self-evaluations are due
Week 4: Ideas for effective classroom management; final lesson plan is due
Week 5: Improving practice with reflective teaching; final peer and self-evaluations are due"
"Algorithms: Design and Analysis, Part 1",Coursera,Theoretical Computer Science,Stanford University,English,5-7 hours a week,2016-07-11,7,2016-11-29,,137,3.189781022,Upcoming,Paid Certificate Available,https://www.class-central.com/mooc/374/coursera-algorithms-design-and-analysis-part-1,"This course is aimed at English as a Foreign Language (EFL) teachers, both those who are intending to pursue this field as a career and those already working in the field who would like to revise and refresh their methods and approaches. The materials and approaches presented should complement college courses such as Introduction to TEFL/TESOL Methods.
This five-week course explores important aspects of teaching English as a second or foreign language. The goal of this course is to help you become a better teacher. By the end of this course, you should be able to explain how the various materials and approaches presented will lead to better language learning; you will be able to choose appropriate materials and apply varied classroom activities to improve your students’ study of English. You will also be able to better evaluate both your own and other teachers’ practices.
This is the second of the two-part Shaping the Way We Teach English series. The first part is the Landscape of English Language Teaching. You can begin with either course.

Syllabus
Topics for Paths to Success in English Language Teaching include:
Week 1: Integrating skills and using tasks to motivate learners; project overview, introductions
Week 2: Alternative assessment that shows what learners can do with language; lesson plan phase 1 is due
Week 3: Incorporating individual learning differences in instruction; peer and self-evaluations are due
Week 4: Ideas for effective classroom management; final lesson plan is due
Week 5: Improving practice with reflective teaching; final peer and self-evaluations are due"
Ruby on Rails: An Introduction,Coursera,Web Development,Johns Hopkins University,English,null,2016-07-04,3,2016-10-25,,49,4.693877551,Upcoming,Paid Certificate Available,https://www.class-central.com/mooc/4258/coursera-ruby-on-rails-an-introduction,"In this four-part series, we will explore AP Physics 1 concepts and prepare for the AP Physics 1 Exam in an exciting and entirely new way. Increase your skills ? and your readiness ? for the AP Exam though quality videos, inquiry labs, Hollywood-style Concept Trailers™, Direct Measurement Videos, AP problem-solving sessions and more!

In Part 2: Rotational Motion you will learn how to describe rotational motion with kinematics and how torque alters an object’s state of motion. You will learn about rotational energy and angular momentum, and how their conservation laws affect motion. Gravitational forces between two bodies and the resulting motion will be described, as well as simple harmonic motion. The course will cover these physical concepts through lectures, demonstrations, labs, and problem solving strategies

The enhanced AP Exam Prep PLUS 5 is bundled with the edX Verified Certificate. To get PLUS 5, register for the Verified Certificate. The course instructors will email you with directions for how to receive both the extra exam prep and certificate.

You can view or download the complete College Physics for AP®Courses textbook by going to the Reading Assignments page in this course

 

*Advanced Placement® and AP® are trademarks registered and/or owned by the College Board, which was not involved in the production of, and does not endorse, these offerings.

Additional Courses in the Preparing for the AP Physics 1 Exam Sequence

Preparing for the AP* Physics 1 Exam - Part 1: Linear Motion
Preparing for the AP* Physics 1 Exam - Part 3: Electricity & Waves
Preparing for the AP* Physics 1 Exam - Part 4: Exam Prep
*Advanced Placement® and AP® are trademarks registered and/or owned by the College Board, which was not involved in the production of, and does not endorse, these offerings."
