,V1,V2,V3,V4,V5
https://www.class-central.com/mooc/408/coursera-an-introduction-to-interactive-programming-in-python-part-1,python,programming,stopwatch,canvas,arcade
https://www.class-central.com/mooc/2161/coursera-learning-how-to-learn-powerful-mental-tools-to-help-you-master-tough-subjects,chunks,procrastination,memory,translated,modes
https://www.class-central.com/mooc/2860/coursera-a-life-of-happiness-and-fulfillment,sin,habit,happiness,happy,exercise
https://www.class-central.com/mooc/1713/coursera-r-programming,debugging,functions,programming,week,profiler
https://www.class-central.com/mooc/835/coursera-machine-learning,machine,neural,regression,linear,logistic
https://www.class-central.com/mooc/2750/coursera-marketing-in-a-digital-world,digital,products,customers,tools,rated
https://www.class-central.com/mooc/1712/coursera-the-data-scientist-s-toolbox,data,github,rstudio,conceptual,week
https://www.class-central.com/mooc/3396/coursera-introduction-to-programming-with-matlab,matlab,operators,matrices,loops,matlabs
https://www.class-central.com/mooc/374/coursera-algorithms-design-and-analysis-part-1,algorithms,bigoh,heaps,quicksort,conquer
https://www.class-central.com/mooc/4258/coursera-ruby-on-rails-an-introduction,ruby,rails,web,heroku,application
https://www.class-central.com/mooc/555/coursera-social-psychology,psychology,largest,enriches,plous,social
https://www.class-central.com/mooc/1714/coursera-getting-and-cleaning-data,cleaning,data,tidy,week,cover
https://www.class-central.com/mooc/317/coursera-model-thinking,models,section,tipping,randomness,model
https://www.class-central.com/mooc/418/coursera-introduction-to-philosophy,philosophy,moral,scientific,hume,mind
https://www.class-central.com/mooc/343/coursera-gamification,gamification,game,games,design,nongame
https://www.class-central.com/mooc/345/coursera-introduction-to-finance,mooc,specialization,enrolled,september,valuation
https://www.class-central.com/mooc/3196/coursera-an-introduction-to-interactive-programming-in-python-part-2,sprites,python,dictionaries,mouse,game
https://www.class-central.com/mooc/1137/coursera-introduction-to-marketing,centricity,customer,branding,brand,kahn
https://www.class-central.com/mooc/422/coursera-functional-programming-principles-in-scala,scala,scalas,functional,functions,programming
https://www.class-central.com/mooc/616/coursera-cryptography-i,encryption,publickey,ciphers,crypto,integrity
https://www.class-central.com/mooc/1178/coursera-programming-mobile-applications-for-android-handheld-systems-part-1,android,scratch,intents,fragments,smoothly
https://www.class-central.com/mooc/1813/coursera-the-science-of-the-solar-system,unit,mars,solar,insides,planets
https://www.class-central.com/mooc/563/coursera-calculus-one,calculus,rule,derivatives,derivative,differentiate
https://www.class-central.com/mooc/1715/coursera-exploratory-data-analysis,exploratory,data,graphics,plotting,ggplot
https://www.class-central.com/mooc/406/coursera-computational-investing-part-i,portfolio,qstk,fund,hedge,capm
https://www.class-central.com/mooc/769/coursera-introduction-to-financial-accounting,cash,accounting,financial,statement,sheet
https://www.class-central.com/mooc/383/coursera-think-again-how-to-reason-and-argue,arguments,quiz,week,argument,fallacies
https://www.class-central.com/mooc/840/coursera-developing-innovative-ideas-for-new-companies-the-first-step-in-entrepreneurship,entrepreneurial,mindset,opportunities,entrepreneurship,innovative
https://www.class-central.com/mooc/2727/coursera-work-smarter-not-harder-time-management-for-personal-professional-productivity,delegation,prioritization,scheduling,productivity,commitment
https://www.class-central.com/mooc/4352/coursera-machine-learning-foundations-a-case-study-approach,machine,intelligent,classification,ipython,notebook
https://www.class-central.com/mooc/4319/coursera-programming-for-everybody-getting-started-with-python,chapter,python,loops,chapters,book
https://www.class-central.com/mooc/1186/coursera-principles-of-reactive-programming,reactive,forexpressions,actors,futures,programming
https://www.class-central.com/mooc/1406/coursera-the-bible-s-prehistory-purpose-and-political-future,biblical,bible,judah,israel,authors
https://www.class-central.com/mooc/451/coursera-introduction-to-data-science,analytics,nosql,data,databases,parallel
https://www.class-central.com/mooc/2753/coursera-digital-analytics-for-marketing-professionals-marketing-analytics-in-theory,analytics,marketing,digital,epochs,threestep
https://www.class-central.com/mooc/1887/coursera-vital-signs-understanding-what-the-body-is-telling-us,pain,signs,body,respiration,blood
https://www.class-central.com/mooc/4164/coursera-introduction-to-big-data,big,data,hadoop,clicking,mapreduce
https://www.class-central.com/mooc/714/coursera-critical-perspectives-on-management,firm,rome,firms,management,innovation
https://www.class-central.com/mooc/335/coursera-internet-history-technology-and-security,web,internet,layer,network,internetwork
https://www.class-central.com/mooc/1717/coursera-statistical-inference,inference,permutation,intervals,bootstrapping,pvalues
https://www.class-central.com/mooc/1718/coursera-regression-models,regression,multivariable,linear,residuals,squares
https://www.class-central.com/mooc/432/coursera-know-thyself,nonwestern,psychoanalysis,philosophy,selfknowledge,aesthetics
https://www.class-central.com/mooc/4307/coursera-introduction-to-html5,page,html,tags,webpage,accessibility
https://www.class-central.com/mooc/372/coursera-introduction-to-operations-management,productivity,quality,bottlenecks,defects,flow
https://www.class-central.com/mooc/388/coursera-computing-for-data-analysis,statistical,data,custom,plot,packages
https://www.class-central.com/mooc/415/coursera-astrobiology-and-the-search-for-extraterrestrial-life,earth,life,habitable,extraterrestrial,search
