,V1,V2,V3,V4,V5,V6,V7,V8
https://www.class-central.com/mooc/408/coursera-an-introduction-to-interactive-programming-in-python-part-1,python,programming,stopwatch,canvas,arcade,pong,eventdriven,conditionals
https://www.class-central.com/mooc/2161/coursera-learning-how-to-learn-powerful-mental-tools-to-help-you-master-tough-subjects,chunks,procrastination,memory,translated,modes,illusions,term,visit
https://www.class-central.com/mooc/2860/coursera-a-life-of-happiness-and-fulfillment,sin,habit,happiness,happy,exercise,fulfilling,module,arent
https://www.class-central.com/mooc/1713/coursera-r-programming,debugging,functions,programming,week,profiler,profiling,statistical,loop
https://www.class-central.com/mooc/835/coursera-machine-learning,machine,neural,regression,linear,logistic,recommender,algorithm,machines
https://www.class-central.com/mooc/2750/coursera-marketing-in-a-digital-world,digital,products,customers,tools,rated,enabling,revolutionizing,marketing
https://www.class-central.com/mooc/1712/coursera-the-data-scientist-s-toolbox,data,github,rstudio,conceptual,week,toolbox,turning,scientists
https://www.class-central.com/mooc/3396/coursera-introduction-to-programming-with-matlab,matlab,operators,matrices,loops,matlabs,functions,files,programming
https://www.class-central.com/mooc/374/coursera-algorithms-design-and-analysis-part-1,algorithms,bigoh,heaps,quicksort,conquer,cuts,contraction,bloom
https://www.class-central.com/mooc/4258/coursera-ruby-on-rails-an-introduction,ruby,rails,web,heroku,application,deploy,paas,json
https://www.class-central.com/mooc/555/coursera-social-psychology,psychology,largest,enriches,plous,social,life,dislike,lineup
https://www.class-central.com/mooc/1714/coursera-getting-and-cleaning-data,cleaning,data,tidy,week,cover,databases,codebooks,downstream
https://www.class-central.com/mooc/317/coursera-model-thinking,models,section,tipping,randomness,model,theorem,fishers,lyapunov
https://www.class-central.com/mooc/418/coursera-introduction-to-philosophy,philosophy,moral,scientific,hume,mind,TRUE,reid,timetravel
https://www.class-central.com/mooc/343/coursera-gamification,gamification,game,games,design,nongame,lesson,identifies,thoughtful
https://www.class-central.com/mooc/345/coursera-introduction-to-finance,mooc,specialization,enrolled,september,valuation,batchenroll,discontinued,gautam
https://www.class-central.com/mooc/3196/coursera-an-introduction-to-interactive-programming-in-python-part-2,sprites,python,dictionaries,mouse,game,list,programming,objectoriented
https://www.class-central.com/mooc/1137/coursera-introduction-to-marketing,centricity,customer,branding,brand,kahn,marketing,professor,strategies
https://www.class-central.com/mooc/422/coursera-functional-programming-principles-in-scala,scala,scalas,functional,functions,programming,lists,matching,classes
https://www.class-central.com/mooc/616/coursera-cryptography-i,encryption,publickey,ciphers,crypto,integrity,cryptography,cca,key
https://www.class-central.com/mooc/1178/coursera-programming-mobile-applications-for-android-handheld-systems-part-1,android,scratch,intents,fragments,smoothly,user,permissions,assuming
https://www.class-central.com/mooc/1813/coursera-the-science-of-the-solar-system,unit,mars,solar,insides,planets,giant,week,water
https://www.class-central.com/mooc/563/coursera-calculus-one,calculus,rule,derivatives,derivative,differentiate,functions,antidifferentiation,curved
https://www.class-central.com/mooc/1715/coursera-exploratory-data-analysis,exploratory,data,graphics,plotting,ggplot,week,lattice,analysis
https://www.class-central.com/mooc/406/coursera-computational-investing-part-i,portfolio,qstk,fund,hedge,capm,jensens,portfolios,efficient
https://www.class-central.com/mooc/769/coursera-introduction-to-financial-accounting,cash,accounting,financial,statement,sheet,flows,income,ratio
https://www.class-central.com/mooc/383/coursera-think-again-how-to-reason-and-argue,arguments,quiz,week,argument,fallacies,reasoning,inductive,logic
https://www.class-central.com/mooc/840/coursera-developing-innovative-ideas-for-new-companies-the-first-step-in-entrepreneurship,entrepreneurial,mindset,opportunities,entrepreneurship,innovative,motivations,venture,presenting
